,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters,HBD##length##millimeters
0.5,0.5,120,22.3,38,60,34.9,21.3
0.75,0.75,130,25.4,44,70,42.9,26.7
1,1,150,28.6,52,73,50.8,33.4
1.25,1.25,160,28.6,64,73,63.5,42.2
1.5,1.5,180,31.8,70,83,73,48.3
2,2,215,38.1,105,102,92.1,60.3
2.5,2.5,245,41.3,124,105,104.8,73
3,3,240,38.1,127,102,127,88.9
4,4,290,44.5,159,114,157.2,114.3
5,5,350,50.8,190,127,185.7,141.3
6,6,380,55.6,235,140,215.9,168.3
8,8,470,63.5,298,162,269.9,219.1
10,10,545,69.9,368,184,323.8,273
12,12,610,79.4,419,200,381,323.8
14,14,640,85.8,451,213,412.8,355.6
16,16,705,88.9,508,216,469.9,406.4
18,18,785,101.6,565,229,533.4,457
20,20,855,108,622,248,584.2,508
24,24,1040,139.7,749,292,692.2,610
