,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters
10,10,90,14
15,15,95,14
20,20,105,16
25,25,115,16
32,32,140,18
40,40,150,18
50,50,165,20
65,65,185,20
80,80,200,20
100,100,220,22
125,125,250,22
150,150,285,24
200,200,340,24
250,250,405,26
300,300,460,28
350,350,520,30
400,400,580,32
450,450,640,40
500,500,715,44
600,600,840,54
700,700,910,48
800,800,1025,52
900,900,1125,58
1000,1000,1255,64
1200,1200,1485,76
