,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,FHgt##length##millimeters,WOD##length##millimeters,FND##length##millimeters,RFD##length##millimeters
10,10,90,14,35,14,28,41
15,15,95,14,38,18,32,46
20,20,105,16,40,25,40,56
25,25,115,16,40,32,46,65
32,32,140,18,42,38,56,76
40,40,150,18,45,45,64,84
50,50,165,20,48,57,74,99
65,65,185,20,45,76,92,118
80,80,200,20,50,89,110,132
100,100,220,22,52,108,130,156
125,125,250,22,55,133,158,184
150,150,285,24,55,159,184,211
200,200,340,24,62,219,234,266
250,250,405,26,70,273,288,319
300,300,460,28,78,325,342,370
350,350,520,30,82,377,400,429
400,400,580,32,85,426,450,480
450,450,640,40,87,480,506,548
500,500,715,44,90,530,559,609
600,600,840,54,95,630,660,720
700,700,910,38,100,720,750,794
800,800,1025,38,105,820,850,901
900,900,1125,40,110,920,958,1001
1000,1000,1255,42,120,1020,1060,1112
1200,1200,1485,48,130,1220,1260,1328
1400,1400,1685,52,145,1420,1465,1530
1600,1600,1930,58,160,1620,1668,1750
1800,1800,2130,62,170,1820,1870,1950
2000,2000,2345,66,190,2020,2072,2150
