,ND##length##millimeters,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters,HBD##length##millimeters
0.5,15,95,12.7,38,51,34.9,21.3
0.75,20,115,14.3,48,56,42.9,26.7
1,25,125,15.9,54,60,50.8,33.4
1.25,32,135,17.5,64,64,63.5,42.2
1.5,40,155,19.1,70,67,73,48.3
2,50,165,20.7,84,68,92.1,60.3
2.5,65,190,23.9,100,75,104.8,73
3,80,210,27,117,78,127,88.9
3.5,90,230,28.6,133,79,139.7,101.6
4,100,255,30.2,146,84,157.2,114.3
5,125,280,33.4,178,97,185.7,141.3
6,150,320,35,206,97,215.9,168.3
8,200,380,39.7,260,110,269.9,219.1
10,250,445,46.1,321,116,323.8,273
12,300,520,49.3,375,129,381,323.8
14,350,585,52.4,425,141,412.8,355.6
16,400,650,55.6,483,144,469.9,406.4
18,450,710,58.8,533,157,533.4,457
20,500,775,62,587,160,584.2,508
24,600,915,68.3,702,167,692.2,610
