,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters,HBD##length##millimeters
0.5,0.5,90,9.6,30,46,34.9,21.3
0.75,0.75,100,11.2,38,51,42.9,26.7
1,1,110,12.7,49,54,50.8,33.4
1.25,1.25,115,14.3,59,56,63.5,42.2
1.5,1.5,125,15.9,65,60,73,48.3
2,2,150,17.5,78,62,92.1,60.3
2.5,2.5,180,20.7,90,68,104.8,73
3,3,190,22.3,108,68,127,88.9
3.5,3.5,215,22.3,122,70,139.7,101.6
4,4,230,22.3,135,75,157.2,114.3
5,5,255,22.3,164,87,185.7,141.3
6,6,280,23.9,192,87,215.9,168.3
8,8,345,27,246,100,269.9,219.1
10,10,405,28.6,305,100,323.8,273
12,12,485,30.2,365,113,381,323.8
14,14,535,33.4,400,125,412.8,355.6
16,16,595,35,457,125,469.9,406.4
18,18,635,38.1,505,138,533.4,457
20,20,700,41.3,559,143,584.2,508
24,24,815,46.1,663,151,692.2,610
