,ND##length##inches,FOD##length##millimeters,FThk##length##millimeters,HDia##length##millimeters,LTH##length##millimeters,RFD##length##millimeters,HBD##length##millimeters
0.5,0.5,95,14.3,38,52,34.9,21.3
0.75,0.75,115,15.9,48,57,42.9,26.7
1,1,125,17.5,54,62,50.8,33.4
1.25,1.25,135,20.7,64,67,63.5,42.2
1.5,1.5,155,22.3,70,70,73,48.3
2,2,165,25.4,84,73,92.1,60.3
2.5,2.5,190,28.6,100,79,104.8,73
3,3,210,31.8,117,83,127,88.9
3.5,3.5,230,35,133,86,139.7,101.6
4,4,255,35,146,89,157.2,114.3
5,5,280,38.1,178,102,185.7,141.3
6,6,320,41.3,206,103,215.9,168.3
8,8,380,47.7,260,117,269.9,219.1
10,10,445,54,321,124,323.8,273
12,12,520,57.2,375,137,381,323.8
14,14,585,60.4,425,149,412.8,355.6
16,16,650,63.5,483,152,469.9,406.4
18,18,710,66.7,533,165,533.4,457
20,20,775,69.9,587,168,584.2,508
24,24,915,76.2,702,175,692.2,610
