,ND##length##millimeters,FDia##length##millimeters,FThk##length##millimeters
10,10,75,12
15,15,80,12
20,20,90,14
25,25,100,14
32,32,120,16
40,40,130,16
50,50,140,16
65,65,160,16
80,80,190,18
100,100,210,18
125,125,240,18
150,150,265,20
200,200,320,22
250,250,375,24
300,300,440,24
350,350,490,24
400,400,540,24
450,450,595,24
500,500,645,26
600,600,755,30
700,700,860,26
800,800,975,26
900,900,1075,26
1000,1000,1175,26
1200,1200,1405,28
1400,1400,1630,32
1600,1600,1830,34
1800,1800,2045,36
2000,2000,2265,38
